"id_producto","modelo","marca","precio","id_proveedor"
1,Alpha100,Samsung,500.00,1
2,X200,LG,450.00,1
3,NoteX,Apple,1200.00,2
4,UltraTV,Sony,800.00,3
5,ProCam,Canon,600.00,2
6,SlimBook,HP,750.00,3
7,"TV LED 32""",Panasonic,320.00,4
8,"TV UHD 55""",Philips,600.00,5
9,"TV Curvo 65""",Samsung,980.00,6
10,"TV Smart 43""",LG,450.00,7
11,Laptop IdeaPad,Lenovo,680.00,8
12,Laptop Pavilion,HP,750.00,9
13,Laptop VivoBook,Asus,720.00,10
14,Laptop Chromebook,Acer,400.00,11
15,Laptop Aspire,Acer,500.00,12
16,Laptop Envy,HP,820.00,13
17,Laptop XPS 13,Dell,1400.00,14
18,"Smart TV 75""",Sony,1700.00,15
19,"Smart TV 60""",Sharp,990.00,16
20,Laptop Surface,Microsoft,1300.00,17
